_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
1,17-09-1908,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,1,2,0
2,12-07-1912,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,5,5,0
3,06-08-1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,1,1,0
4,09-09-1913,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),14,20,0
5,17-10-1913,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),30,30,0
6,05-03-1915,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),21,41,0
7,03-09-1915,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),19,19,0
8,28-07-1916,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),20,20,0
9,24-09-1916,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),22,22,0
10,01-10-1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),19,19,0
11,21-11-1916,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),27,28,0
12,28-11-1916,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),20,20,0
13,04-03-1917,"Near Gent, Belgium",Military - German Army,Airship,20,20,0
14,30-03-1917,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),23,23,0
15,14-05-1917,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),21,21,0
16,14-06-1917,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),24,24,0
17,17-06-1917,"Near Yarmouth, England",?,Zepplin LZ-95 (air ship),14,16,0
18,21-08-1917,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),18,18,0
19,20-10-1917,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),18,18,0
20,07-04-1918,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),23,23,0
21,10-05-1918,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),22,22,0
22,11-08-1918,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),19,19,0
23,16-12-1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0
24,25-05-1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
25,19-07-1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
26,02-10-1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,1,1,0
27,14-10-1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,1,1,0
28,20-10-1919,English Channel,Aircraft Transport and Travel,De Havilland DH-4,NA,NA,NA
29,30-10-1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,1,1,0
30,10-03-1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
31,30-03-1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,1,1,0
32,10-04-1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,1,2,0
33,11-04-1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,1,2,0
34,12-05-1920,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,1,2,0
35,06-06-1920,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
36,16-08-1920,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,1,0
37,16-08-1920,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,1,0
38,01-09-1920,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,2,0
39,15-09-1920,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,2,2,0
40,27-09-1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
41,02-10-1920,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,2,0
42,05-10-1920,"Valencia, Spain",Latecoere Airlines,Breguet 14,2,2,0
43,15-10-1920,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,1,0
44,07-11-1920,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0
45,14-12-1920,"London, England",Handley Page Transport,Handley Page HP-16,4,8,0
46,24-12-1920,"Barcelona, Spain",Aeropostale,Breguet 14,1,1,0
47,03-02-1921,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,1,0
48,09-02-1921,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,3,0
49,15-02-1921,Off Gibraltar,Aeropostale,Breguet 14,2,2,0
50,22-02-1921,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,1,0
51,06-04-1921,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,1,2,0
52,21-04-1921,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,1,0
53,29-04-1921,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
54,17-05-1921,"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4",1,1,0
55,16-07-1921,"San Francisco, California",US Aerial Mail Service,De Havilland DH-4,1,1,0
56,14-08-1921,"Toulouse, France",Aeropostale,Breguet 14,2,2,0
57,24-08-1921,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),46,46,1
58,06-09-1921,"Paris, France",Franco-Roumaine,Potez IX,5,5,0
59,05-12-1921,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,3,3,0
60,14-01-1922,"Paris, France",Handley Page Transport,Handley Page O/10,5,5,5
61,21-02-1922,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),34,45,0
62,22-03-1922,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),5,6,0
63,07-04-1922,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,7,0
64,08-04-1922,"Pao Ting Fou, China",?,?,17,17,0
65,13-04-1922,"Brooklands, England",Vickers,Vickers Viking,3,3,0
66,03-06-1922,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,3,0
67,04-07-1922,"Fuhlsbuttel, Germany",?,LVG C VI,2,3,0
68,16-07-1922,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,5,0
69,26-07-1922,"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,3,0
70,07-09-1922,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
71,02-10-1922,"Venice, Italy",?,de Havilland DH-9,4,4,0
72,25-10-1922,"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,2,0
73,03-12-1922,"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,1,0
74,10-01-1923,"Ajaccio, France",Amee de l'Air,Lior????-et-Olivier H-13,3,4,0
75,17-01-1923,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,1,0
76,18-01-1923,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,1,0
77,26-02-1923,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
78,14-05-1923,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,6,0
79,27-08-1923,"Bucharest, Romania",Campagnie France Roumaine,Bl????riot Spad 46,2,2,0
80,07-09-1923,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
81,14-09-1923,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,5,0
82,18-11-1923,Russia,CCCP,Junkers F-13,2,4,0
83,06-12-1923,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
84,23-12-1923,Over the Mediterranean Sea,Military - French Navy,Zeppelin Dixmunde (airship),52,52,0
85,24-12-1923,"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,1,0
86,07-03-1924,"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,1,0
87,24-04-1924,Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,3,0
88,08-06-1924,"Barranquilla, Colombia",SCADTA,Junkers F-13,5,5,0
89,01-08-1924,United States,US Aerial Mail Service,De Havilland DH-4,1,1,0
90,06-11-1924,"Cabrerolles, France",Grands Express Aeriens,?,1,1,0
91,21-12-1924,"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,1,0
92,24-12-1924,"Purley, England",Imperial Airways,de Havilland DH-34B,8,8,0
93,22-03-1925,"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,0
94,25-04-1925,"Alicante, Spain",Grands Express Aeriens,Breguet 14,4,4,0
95,25-05-1925,"Alicante, Spain",Lignes Aeriennes Latecoere,Breguet 14,2,2,0
96,25-06-1925,"Landr????cies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,4,0
97,26-06-1925,"Alicante, Spain",Grands Express Aeriens,Lior????-et-Olivier H-13,2,2,0
98,20-07-1925,"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,1,0
99,24-07-1925,"Budapest, Hungary",CIDNA,Potez IX,1,1,0
100,03-09-1925,"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),14,43,0
101,07-09-1925,"Toul, France",CIDNA,?,3,3,0
102,01-10-1925,"Nittany Mt, Ohio",US Aerial Mail Service,De Havilland DH-4,1,1,0
103,14-11-1925,"Off Boulogne-sur-Mer, France",Air Union,Farman F-60 Goliath,2,2,0
104,12-02-1926,"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,1,0
105,08-03-1926,"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,1,0
106,31-05-1926,English Channel,Air Union,Breguet 14,1,1,0
107,03-07-1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation A????rienne,Caudron C-61,6,6,0
108,09-07-1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F-4,2,2,0
109,24-07-1926,"Juist, Germany",Deutsche Lufthansa,Junkers F-13,4,4,0
110,18-08-1926,"Hurst, Kent, England",Air Union,Bleriot 155,4,4,0
111,26-09-1926,"New York, New York",?,Sikorsky S-25,2,5,0
112,08-10-1926,"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,4,0
113,21-10-1926,English Channel,Imperial Airways,Handley Page W-10,0,12,0
114,11-11-1926,"Cape Bojador, Morocco",Grands Express Aeriens,Breguet 14,3,3,0
115,16-12-1926,"Medford, Oregon",Pacific Air Transport,Ryan M-1,1,1,0
116,12-01-1927,"Estaires, France",Fokker,Fokker F-VII,2,2,0
117,20-03-1927,"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,1,0
118,24-03-1927,"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,3,0
119,15-04-1927,"King Hill, Idaho",Varney Air Lines,"Swallow
Swallow",1,1,0
120,22-04-1927,"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,2,0
121,22-04-1927,"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,1,0
122,02-05-1927,"Algiers, Algeria",Air Union,SPCA Meteore 63,1,3,0
123,27-07-1927,"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,5,0
124,22-08-1927,"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,1,11,0
125,03-09-1927,"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,1,0
126,17-09-1927,"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,7,12,0
127,17-09-1927,"Near Dunellen, New Jersey",Reynolds Airways,Fokker F-V!!b-3m,7,7,0
128,23-09-1927,"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,6,0
129,23-09-1927,"Near schleiz, Thuringia,, Germany",Deutsche Lufthansa,Dornier Merkur D-585,6,6,0
130,06-10-1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,2,0
131,30-10-1927,"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,4,0
132,16-11-1927,"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,1,0
133,16-11-1927,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6,0
134,29-11-1927,"Corunna, Indiana",National Air Transport,Douglas M-4,1,1,0
135,26-12-1927,"Almeria, Spain",Aeropostale,Breguet 14,2,2,0
136,28-12-1927,"Abuerio, Spain",Aeropostale,Breguet 14,1,1,0
137,31-12-1927,"Near Marseille,France",Latecoere Airlines,Lat????co????re 23 (flying boat),5,5,0
138,08-01-1928,"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,3,0
139,16-01-1928,"Solis, Uruguay",Aeropostale,Latecoere 25,2,2,0
140,22-01-1928,France,Aeropostale,Breguet 14,1,2,0
141,22-01-1928,"Tarragona, Spain",Aeropostale,Breguet 14,2,2,0
142,27-01-1928,"Almeria, Spain",Aeropostale,Breguet 14,1,1,0
143,26-02-1928,"Marquette, Nebraska",Boeing Air Transport,Boeing 40,1,2,0
144,03-03-1928,"Rio de Janeiro, Brazil",?,?,10,10,0
145,11-03-1928,"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,2,0
146,17-04-1928,"Federal, Wyoming",Boeing Air Transport,Boeing 40,1,2,0
147,19-04-1928,"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,9,0
148,07-05-1928,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,Latecoere 26,1,1,0
149,12-05-1928,"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,2,0
150,26-05-1928,"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,3,5,0
151,14-06-1928,"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,5,0
152,22-06-1928,"Lebo, Kansas",National Air Transport,Douglas M-4,1,1,0
153,10-07-1928,Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,6,0
154,13-07-1928,"Purley, England",Imperial Airways,Vickers 74 Vulcan,4,4,0
155,24-07-1928,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,1,6,0
156,25-08-1928,"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,7,0
157,02-09-1928,"Toul, France",CIDNA,Bleriot Spad 33,5,5,0
158,04-09-1928,"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,7,0
159,04-09-1928,"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,1,2,0
160,06-09-1928,"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,3,0
161,04-10-1928,"Gerona, Spain",Aeropostale,Breguet 14,3,3,0
162,18-10-1928,"Polk, Pennsylvania",National Air Transport,Douglas M-4,1,1,0
163,31-10-1928,"Valence, France",Air Union,Bleriot Spad 56,1,2,0
164,15-11-1928,Off Gibraltar,Aeropostale,Latecoere 32,1,2,0
165,24-11-1928,"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,3,0
166,25-11-1928,"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,3,3,0
167,25-11-1928,"Bristolville, Ohio",National Air Transport,Douglas M-4,1,1,0
168,01-12-1928,"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,5,0
169,03-12-1928,Brazil,Syndicato Condor,Dornier Wal,14,14,0
170,04-12-1928,"Rio de Janeiro, Brazil",?,Junkers G24,6,6,0
171,11-12-1928,"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,3,4,0
172,20-12-1928,"Huron, Ohio",National Air Transport,Douglas M-4,1,1,0
173,23-12-1928,"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,4,0
174,31-12-1928,"Reims, France",CIDNA,Bl????riot Spad 66,2,3,0
175,05-01-1929,"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,1,0
176,18-01-1929,"Cove, Oregon",Varney Air Lines,Stearman C-38,1,1,0
177,25-01-1929,"Near Corfu, Greece",Aeroespresso,CMASA Wal,2,9,0
178,31-01-1929,"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,1,0
179,31-01-1929,Off Morocco,Aeropostale,Latecoere 26,2,2,0
180,17-03-1929,"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,14,15,0
181,30-03-1929,"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,4,0
182,21-04-1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,6,0
183,18-05-1929,Hungary,MALERT,Fokker F-III,2,2,0
184,22-05-1929,Algiers,Aeropostale,Cams 53,4,5,0
185,10-06-1929,"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,2,5,0
186,14-06-1929,"Barcelona, Spain",Aeropostale,Breguet 14,1,2,0
187,17-06-1929,"Off Dungeness, England",Imperial Airways,Handley Page W-10,7,13,0
188,24-06-1929,"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,1,8,0
189,29-06-1929,"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,1,0
190,29-06-1929,"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,5,0
191,11-08-1929,"Clovis, New Mexico",Middle States Airlines,Lockheed Vega,4,4,0
192,13-08-1929,"Perpignan, France",Aeropostale,Breguet 14,1,1,0
193,24-08-1929,"Sochi, Russia",Ukvozduchput,Kalinin K-4,1,1,0
194,24-08-1929,"Elm, Germany",Deutsche Lufthansa,Fokker FG II,4,5,0
195,02-09-1929,"Needles, California",Associated Aviators,Lockheed Vega,1,2,0
196,03-09-1929,"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,8,0
197,06-09-1929,"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,3,5,0
198,14-09-1929,North Atlantic Ocean,Aeropostale,Latecoere,6,6,0
199,17-09-1929,"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,5,0
200,17-09-1929,"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1,0
201,17-09-1929,"Jacumba, California",Pickwick Airways,Fairchild 71,1,2,0
202,26-10-1929,"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,7,0
203,29-10-1929,"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,1,0
204,31-10-1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,2,0
205,04-11-1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,4,0
206,06-11-1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,7,8,0
207,15-11-1929,"Off Corsica, France",Air Union,Liore et Olivier 190,3,3,0
208,20-11-1929,"Terranova Pausania, East Sardinia",S.A.M. Societ???? Aerea Mediterranea,Savoia Marchetti S55,1,8,0
209,30-11-1929,"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,1,0
210,02-12-1929,"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,1,0
211,14-12-1929,Mediterranean Sea,Aeropostale,Bernard 192,3,3,0
212,19-12-1929,"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,2,3,0
213,30-12-1929,"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,5,0
214,10-01-1930,"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,1,NA
215,13-01-1930,"Antananarivo, Madagascar",Air Orient,Farman 190,3,3,NA
216,19-01-1930,"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,16,NA
217,25-01-1930,"Off Ceuta, Spain",Aeropostale,Latecoere 25,2,2,NA
218,27-01-1930,"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,5,5,NA
219,03-02-1930,"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,1,NA
220,10-02-1930,"Marden, England",Air Union,Farman F-63,2,2,NA
221,18-04-1930,"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,4,NA
222,10-05-1930,Buenos Aires,Aeropostale,Latecoere 28,4,3,NA
223,05-06-1930,"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15,1,NA
224,07-07-1930,"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8,5,NA
225,10-07-1930,"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,5,NA
226,21-07-1930,"Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,6,6,NA
227,22-08-1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11,10,NA
228,11-09-1930,"Croydon, England",Sabena,Sabca F-VII,2,2,NA
229,25-09-1930,"Southesk, Saskatchewan, Canada",Western Canada Airways,?,3,3,NA
230,05-10-1930,"Near Beauvais, France",Military - British Air Ministry,Royal Airship Works R-101,54,48,NA
231,06-10-1930,"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,8,NA
232,12-10-1930,"La Rache, Morocco",Aeropostale,Latecoere 28,4,4,NA
233,28-10-1930,"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,3,NA
234,30-10-1930,"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6,3,NA
235,30-10-1930,"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,1,NA
236,07-11-1930,"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9,1,NA
237,18-11-1930,"Techachapi Mountains, California",Pacific Air Transport,Boeing 40,3,3,NA
238,09-12-1930,"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6,4,NA
239,08-01-1931,"Melle, Belgium",Sabena,Fokker F-VII,2,2,0
240,22-01-1931,"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,1,0
241,08-02-1931,"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,1,1,0
242,20-02-1931,"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,2,3,0
243,24-02-1931,Off Spain,Aeropostale,Latecoere 32,1,3,0
244,21-03-1931,"New South Wales, Australia",Australian National Airways,Avro 10,8,8,0
245,31-03-1931,"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,8,0
246,14-04-1931,"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,2,10,0
247,05-05-1931,"Burbank, California",Pacific Air Transport,Boeing 40,2,2,0
248,22-05-1931,"Wampit, Australia",Guiena Airways,Junkers W-34,1,1,0
249,24-05-1931,"Bellefonte, Pennsylvania",National Air Transport,Boeing 95,1,1,0
250,07-06-1931,"Near Sandoway, Burma",Air Orient,Fokker F-VIIB,4,4,0
251,11-06-1931,"Walbridge, Ohio",Rubner Flying Service,Lockheed Vega 2,2,3,0
252,13-06-1931,"Saarbrucken, Germany",Deutsche Lufthansa,Dornier Merkur,4,4,0
253,12-07-1931,"Chicago, Illinois",Braniff Airlines,Lockheed Vega,2,2,0
254,14-07-1931,"Temora, Australia",Australian Aerial Services,Lasco Lascowl,2,2,0
255,21-07-1931,"Centralia, Illinois",American Airways,Pitcairn PA-6 Mailwing,1,1,0
256,24-07-1931,"Kurudjevo, Bulgaria",CIDNA,Fokker F-VII,7,7,0
257,09-08-1931,"Cincinnati, Ohio",American Airways,Ford 5-AT-C Tri Motor,6,6,0
258,14-09-1931,"Chicago, Illinois",Chicago-Detroit Airways,Lockheed Vega,1,1,0
259,15-09-1931,"Near Craiova, Oltenia, Romania",CIDNA,Fokker F-VIIb-3m,6,6,0
260,16-09-1931,"Oakland, California",Pacific Air Transport,Boeing 40,4,4,0
261,06-10-1931,"Novia Scotia, Canada",Deutsche Lufthansa,Heinkel HE-2,3,3,0
262,14-10-1931,Brazil,Syndicato Condor,Dornier Wal,3,3,0
263,05-11-1931,"Camden, New Jersey","NY, Phil., Washington AW",Lockheed Orion 9,5,5,0
264,13-11-1931,"Sir Lowry's pass, South Africa",Union Airways,De Havilland DH.80,3,3,0
265,23-11-1931,"Salt Lake City, Utah",Boeing Air Transport,Boeing 40,1,1,0
266,24-11-1931,"Near Tsinan, China",China National Aviation Corporation,Stinson,3,3,0
267,26-11-1931,"Pasco, Washington",Varney Air Lines,Boeing 40,1,1,0
268,05-12-1931,"Kewanee, Illinois",Braniff Airways,Lockheed Vega 5,2,6,0
269,06-12-1931,"Bangkok, Thailand",KLM Royal Dutch Airlines,Fokker F-VIIb-3M,5,7,0
270,09-12-1931,Off Algiers,Aeropostale,CAMS 56,2,2,0
271,31-12-1931,"Springfield, Ohio",American Airways,Fairchild Pilgrim 100A,4,5,0
272,21-01-1932,"Colvin Park, Ilinois",Northwest Airways,Stinson SM-2A,1,1,0
273,29-01-1932,"Lebec, California",Century Pacific Lines,Stinson SM-6000B,8,8,0
274,01-02-1932,"Off Miami, Florida",Bimini Airways,Fairchild,5,5,0
275,02-02-1932,"Marcellus, Michigan",Transamerican Airlines,Stearman C-3MB,1,1,0
276,02-02-1932,"Rio Vista, California",Boeing Air Transport,Boeing 40,1,2,0
277,27-02-1932,"Off Setiba, Brazil",Aeropostale,Latecoere 28,3,3,0
278,08-03-1932,"Saint Louis, Illinois",Century Air Lines,Stinson SM-6000B,2,5,0
279,19-03-1932,"Calimesa, California",American Airways,Fokker F-10A,7,7,0
280,21-03-1932,"Steubenville, Ohio",Trans Continental and Western Air,Northrop Alpha,1,1,0
281,29-03-1932,Syria,Air Orient,Farman F-190,3,3,0
282,31-03-1932,"Bedford, Ohio",National Air Transport,Boeing 95,1,1,0
283,21-04-1932,"Fort Wayne, Indiana",Transamerica Airlines,Stearman C-3MB,1,1,0
284,03-05-1932,"Portland, Oregon",Varney Air Lines,Boeing 40,2,2,0
285,16-05-1932,"Burbank, California",Pacific Air Transport,Boeing 40,3,3,0
286,16-07-1932,"Mount El Plomo, near Vitacura, Chile",Panagra,Ford 5-AT-C Tri Motor,9,9,0
287,12-08-1932,"Beyrouth, Lebanon",Air Orient,CAMS 53,1,7,0
288,30-08-1932,"Tubergen, Germany",A B Aerotransport,Junkers G-23,2,2,0
289,08-09-1932,"Salt Flats, Texas",American Airways,Fokker F-10,3,4,0
290,17-09-1932,"Selsdon Park, England",Air Union,Liore-et-Olivier 213,1,2,0
291,18-09-1932,"Byron Bay, Australia",New England Airways,De Havilland DH-80,3,3,0
292,12-10-1932,"Port Etienne, Mauritania",Aeropostale,Latecoere 28,1,1,0
293,26-10-1932,"Villa Monte, Bolivia",Lloyd Aero Boliviano,Ford Tri-motor 5,2,2,0
294,29-10-1932,"Ramsgate, England",Deutsche Lufthansa,Junkers W-33,2,2,0
295,02-11-1932,"Echterpfuhl, Germany",Deutsche Lufthansa,Junkers F-13,5,5,0
296,25-11-1932,"Marianna, Arkansas",Hunter Airways,Travel Air 6000,2,2,0
297,14-12-1932,"Rocky Ridge, Colorado",Boeing Air Transport,Boeing 40,1,1,0
298,14-12-1932,"Amarillo, Texas",Trans Continental and Western Air,Ford 5,2,2,0
299,26-12-1932,"Wau, Australia",Guinea Airways,De Havilland DH-60,2,2,0
300,10-01-1933,Algiers,Aeropostale,CAMS 53,1,1,0
301,14-01-1933,"Newark, New Jersey",Eastern Air Transport,Curtiss Condor 18,2,2,0
302,20-01-1933,"Bourne, Texas",American Airways,Stearman 4,1,1,0
303,20-01-1933,"Marietta, Georgia",American Airways,Stearman 4,1,1,0
