_id,Date,Location,Operator,PlaneType,Dead,Aboard,Ground
1912,22-05-1962,"Near Unionville, Missouri",Continental Airlines,Boeing B-707-124,45,45,0
1913,22-05-1962,"Near Markt Schwaben, West Germany",Military - U.S. Navy,Lockheed C121J,26,26,0
1914,24-05-1962,"Bitter, Russia",Aeroflot,Li-2,20,21,0
1915,03-06-1962,"Villeneuve-le-Roi, Val-de-Marne, France",Air France,Boeing B-707-328,130,132,0
1916,04-06-1962,"Sofia, Bulgaria",Aeroflot,Tupolev Tu-104B,5,5,0
1917,22-06-1962,"Basse-Terre, Guadaloupe, West Indies",Air France,Boeing B-707-328,112,112,0
1918,28-06-1962,"Near Adler, Russia",Aeroflot,Antonov AN-10A,81,81,0
1919,30-06-1962,"Near Krasnoyarsk, USSR",Aeroflot,Tupolev TU-104A,84,84,0
1920,06-07-1962,"Near Tashkent, Uzbekistan, USSR",Aeroflot,Ilyushin IL-14,11,38,0
1921,07-07-1962,"Near Junnar, Maharashtra, India",Alitalia,McDonnell Douglas DC-8-43,94,94,0
1922,09-07-1962,"Off Brindisi, Italy",Trans Mediterranean Airways,Douglas DC-4,6,6,0
1923,15-07-1962,"Near Lahore, Pakistan",Indian Airlines,Douglas C-47A,1,3,0
1924,16-07-1962,"Near Loheshyphn, India",Kalinga Airlines,Douglas C-47,9,9,0
1925,19-07-1962,"Near Bangkok, Thailand",United Arab Airlines,de Havilland Comet 4C,26,26,0
1926,22-07-1962,"Honolulu, Hawaii",Canadian Pacific Air Lines,Bristol Britannia 314,27,40,0
1927,28-07-1962,"Sochi, Russia",Aeroflot,Antonov An-10A,81,81,0
1928,30-07-1962,"Coulommiers, France",Air France,Douglas DC-3,4,8,0
1929,01-08-1962,"Near Kathmandu, Nepal",Royal Nepal Airlines,Douglas DC-3,10,10,0
1930,20-08-1962,"Rio de Janeiro, Brazil",Panair do Brazil,McDonnell Douglas DC-8-33,15,105,0
1931,23-08-1962,"Barrancabermeja, Colombia",Taxader Airlines,Douglas DC-3,20,32,0
1932,24-08-1962,"Cerro Puena Paz, Peru",Faucett,Douglas DC-3,9,9,0
1933,03-09-1962,"Near Khabarovsk, USSR",Aeroflot,Tupolev TU-104A,86,86,0
1934,03-09-1962,"Yanoyaki, Japan",Military - Japan Maritime Self Defense Force,Lockheed P2V-7,12,12,1
1935,04-09-1962,"Near Lake Milton, Ohio",Private - Ashland Oil Company,Lockheed 18 Lodestar,13,13,0
1936,10-09-1962,"Near Alcoche, Bolivia",Aerolineas Abaroa,Douglas C-47A,4,4,0
1937,10-09-1962,"Near Milan, Washington",Military - U.S. Air Force,Boeing KC-135A,44,44,0
1938,10-09-1962,"Brno, Czechoslovakia",Ceskoslovenske Aerolinie,Avia 14,11,34,0
1939,18-09-1962,"Yakut, Russia",Aeroflot,Aeroflot,32,32,0
1940,21-09-1962,"Sela Pass, India",Kalinga Airlines,Douglas C-47A,8,8,0
1941,23-09-1962,North Atlantic Ocean,Flying Tiger Line,Lockheed 1049H-82 Super Constellation,28,76,0
1942,10-10-1962,"Brno, Czechoslovakia",Czechoslovak Airlinex,Ilushin Il-14,11,NA,NA
1943,10-10-1962,"Bagotville, Quebec, Canada",Trans Canada Air Lines,Vickers 757 Viscount,2,19,0
